Item,Covered California ID,Entity Name,County / Pediatric,Source,2015 to 2016 Inclusion,Address,City,State,ZIP,Rating Region,FIPS Code,Medicare Provider Number,340B ID,Entity Type Code,OSHPD ID,CA License,CA Facility ID,NPI,Billing Organization,Billing Address 1,Billing Address,Billing City,Billing State,Billing Zip,Primary Contact Name,Primary Contact Title,Primary Contact Telephone,Primary Contact Extension,Y,X,Tract,Block
12,01089H0018,MAYERS MEMORIAL HOSPITAL,,340B & DHCS DSH,Unchanged,43563 STATE HIGHWAY 299 EAST,FALL RIVER MILLS,CA,96028,1,089,51305,CAH051305-00,Critical Access Hospital,106450936,230000021,230000009,1265646152,MAYERS MEMORIAL HOSPITAL,P.O. BOX 459,,FALL RIVER MILLS,CA,96028,KEITH EARNEST,CCO,(530) 336-5554,1153,41.02281942,-121.4256953,12702,2030
13,01045H0019,MENDOCINO COAST DISTRICT HOSPITAL,,340B,Unchanged,700 RIVER DRIVE,FORT BRAGG,CA,95437,1,045,51325,CAH051325-00,Critical Access Hospital,106231013,110000040,110000023,1538113725,,,,,,,Bob S. Edwards,CEO,(707) 961-4611,,39.432607,-123.800793,10500,4003
14,01089H0020,"MERCY MEDICAL CENTER, REDDING",,340B,Unchanged,2175 ROSALINE AVENUE,REDDING,CA,96001,1,089,50280,DSH050280,DSH,106450949,230000024,230000010,1477671535,Dignity Health AP SAC,3400 Data Drive,3rd floor,Rancho Cordova,CA,95670,Kathleen Delikowski,Interim Director of Pharmacy,(530) 225-7002,,40.572569,-122.396538,10500,3055
5,01093H0021,DIGNITY HEALTH D/B/A MERCY MEDICAL CENTER MT. SHASTA,,340B,Unchanged,914 PINE STREET,MOUNT SHASTA,CA,96067,1,093,51319,CAH051319-00,Critical Access Hospital,106470871,230000015,100001760,,,,,,,,TIM HUTCHINSON,Pharmacist,(530) 926-7217,,41.318723,-122.322816,1000,4187
15,01049H0022,MODOC MEDICAL CENTER,,340B & DHCS DSH,Unchanged,228 W. MCDOWELL AVE,ALTURAS,CA,96101,1,049,51330,CAH051330-00,Critical Access Hospital,106250956,,230000011,,,,,,,,Michele McQuillan-Hill,CNO,(530) 233-7031,,41.48001891,-120.5440897,100,3045
16,01007H0023,OROVILLE HOSPITAL,,340B & DHCS DSH,Unchanged,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,1,007,50030,DSH050030,DSH,106040937,230000022,230000014,1982756425,,,,,,,"DANIEL Q NGUYEN, PHARM D",DIRECTOR OF PHARMACY,(530) 533-8500,,39.50448827,-121.5420393,2700,2019
17,01023H0026,Redwood Memorial Hospital,,340B & DHCS DSH,Unchanged,3300 Renner Drive,FORTUNA,CA,95540,1,023,51318,CAH051318-00,Critical Access Hospital,106121051,110000173,110000045,,,,,,,,Kevin Clougherty,Regional Director 340B Pharmacy Operations,(707) 269-4236,,40.582577,-124.135524,10901,3037
18,01115H0027,RIDEOUT MEMORIAL HOSPITAL,,340B,Unchanged,726 4TH STREET,MARYSVILLE,CA,95901,1,115,50133,DSH050133,DSH,106580996,230000126,230000261,1720088354,,PO BOX 2128,,MARYSVILLE,CA,95901,JERRY F. GONZALES,DIRECTOR OF PHARMACY,(530) 749-4417,,39.13872801,-121.5949677,40100,1029
19,01063H0028,SENECA DISTRICT HOSPITAL,,340B,Unchanged,130 BRENTWOOD DRIVE,CHESTER,CA,96020,1,063,51327,CAH051327-00,Critical Access Hospital,106321016,,230000227,,Seneca District Hospital,PO Box 737,,Chester,CA,96020,Karen Turner,Chief Nursing Officer,(530) 258-2000,,40.305383,-121.2347321,501,1108
20,01089H0029,SHASTA REGIONAL MEDICAL CENTER,,DHCS DSH,Removed,1100 BUTTE St,REDDING,CA,96001,1,089,50764,,,106450940,230000023,230000016,,,,,,,,"Gordon, Cyndy",Administrator,(530) 244-5454,,40.585296,-122.386876,,
21,01109H0032,SONORA COMMUNITY HOSPITAL DBA SONORA REGIONAL MEDICAL CENTER,,340B,Unchanged,1000 GREENLEY RD.,SONORA,CA,95370,1,109,50335,SCH050335-00,Sole Community Hospital,106554011,030000094,030001799,,,,,,,,Ashley Pedroni,340B Program Specialist,(209) 536-3704,,37.98078824,-120.3685094,1200,3028
22,01103H0034,ST ELIZABETH COMMUNITY HOSPITAL,,340B,Unchanged,2550 SISTER MARY COLUMBA,RED BLUFF,CA,96080,1,103,50042,DSH050042,DSH,106521041,230000036,230000020,1083732853,Dignity Health AP SAC,3400 Data Drive,3rd floor,Rancho Cordova,CA,95670,Randy Pennebaker,Director of Pharmacy,(530) 529-8235,,40.14879495,-122.2179757,700,4024
23,01033H0035,St Helena Hospital Clearlake,,340B & DHCS DSH,Unchanged,15630 18th Ave - Hwy 53,CLEARLAKE,CA,95422,1,033,51317,CAH051317-00,Critical Access Hospital,106171049,110000174,110000044,1124018031,,,,,,,CARLTON JACOBSON,CFO,(707) 995-5824,,38.9361793,-122.6200373,702,2062
24,01023H0036,ST. JOSEPH HOSPITAL,,340B,Unchanged,2700 DOLBEER STREET,EUREKA,CA,95501,1,023,50006,DSH050006,DSH,106121080,110000075,110000067,1891900635,,,,,,,Kevin Clougherty,Regional Director 340B Pharmacy Operations,(707) 269-4236,7593,40.784568,-124.141477,600,2011
25,01033H0040,SUTTER LAKESIDE HOSPITAL,,DHCS DSH,Unchanged,5176 HILL ROAD EAST,LAKEPORT,CA,95453,1,033,51329,,,106171395,110000094,110000019,,,,,,,,Yi-Chih Peng,Pharmacy Manager,(707) 262-5061,,39.10764169,-122.9063778,300,2026
26,01057H0042,TAHOE FOREST HOSPITAL,,340B,Unchanged,10121 PINE AVENUE,TRUCKEE,CA,96161,1,057,51328,CAH051328-00,Critical Access Hospital,106291053,230000151,230000334,,TAHOE FOREST HOSPITAL DISTRICT,P.O. BOX 759,,TRUCKEE,CA,96160,"TENA MATHER, RPH",PHARMACY CLINICAL PROGRAM ANALYST,(530) 582-6586,,39.32476626,-120.2012586,1206,2019
27,01105H0043,TRINITY HOSPITAL,,340B,Unchanged,60 EASTER AVENUE,WEAVERVILLE,CA,96093,1,105,51315,CAH051315-00,Critical Access Hospital,106531059,230000038,230000022,,,,,,,,Kevin Livengood,Director of Pharmacy,(530) 623-5541,3257,40.737793,-122.940391,102,3003
28,01045H0044,UKIAH VALLEY MEDICAL CENTER,,340B & DHCS DSH,Unchanged,275 HOSPITAL DRIVE,UKIAH,CA,95482,1,045,50301,DSH050301,DSH,106231396,110000095,110000070,,,,,,,,Ranna Shamiya,DIRECTOR OF PHARMACY,(707) 463-7345,,39.15383853,-123.2039514,11500,1040
204,01007H0045,ENLOE MEDICAL CENTER,,340B ,Added,1531 ESPLANADE,CHICO,CA,95926,1,007,050039,DSH050039,DSH,106040962,230000027,230000013,1417901091,,,,,,,Kevin Woodward,Director of Finance,(530) 332-6733,,39.742413,-121.84896,603,1002
205,01045H0046,HOWARD MEMORIAL HOSPITAL,,340B ,Added,88 Madrone Street,Willits,CA,95490,1,045,051310,CAH051310-01,CAH,106234038,,,1437551652,,,,,,,Peter Forni,Director of Pharmacy,(707) 456-3147,,39.400887,-123.35221,10700,6021
214,01005H0047,SUTTER AMADOR HOSPITAL,,340B ,Added,200 MISSION BLVD,JACKSON,CA,95642,1,005,050014,DSH050014,DSH,106034002,030000008,030000108,1447494323,,,,,,,Melanie Welcher,340B Program Coordinator,(916) 454-6669,,38.351,-120.76656,500,1040
29,02097H0001,HEALDSBURG DISTRICT HOSPITAL,,340B,Unchanged,1375 UNIVERSITY AVENUE,HEALDSBURG,CA,95448,2,097,51321,CAH051321-00,Critical Access Hospital,106490964,110000019,110000009,,,,,,,,"Susan Spoelma, RN",Chief Nursing Officer,(707) 431-6500,6540,38.626572,-122.863732,153902,4000
30,02095H0008,NORTH BAY MEDICAL CTR,,340B DSH,Unchanged,1200 B GALE WILSON BLVD,FAIRFIELD,CA,94533,2,095,50367,DSH050367,DSH,106481357,110000093,110000010,,,,,,,,RYAN SEO,DIRECTOR OF PHARMACY,(707) 646-4290,,38.261081,-122.049897,252604,3009
38,03113H0012,SUTTER DAVIS HOSPITAL,,340B,Unchanged,2000 SUTTER PLACE,DAVIS,CA,95616,2,095,50537,DSH050537,DSH,106574010,030000124,030000149,,,,,,,,ALLAN YAMASHIRO,ANCILLARY SERVICES DIRECTOR,(530) 757-5181,,38.560932,-121.772568,10505,1034
31,02055H0018,ST HELENA HOSPITAL,,340B,Unchanged,10 WOODLAND ROAD,ST. HELENA,CA,94574,2,055,50013,DSH050013,DSH,106281078,110000073,110000360,,,,,,,,Mindy Pequeno,Pharmacy Buyer,(707) 963-6306,,38.54448346,-122.4757836,201700,5000
33,02097H0019,SUTTER SANTA ROSA REGIONAL HOSPITAL,,340B,Unchanged,30 MARK WEST SPRINGS ROAD,SANTA ROSA,CA,95404,2,097,50291,DSH050291,DSH,106490919,110000005,110000332,,Sutter Shared Services,PO Box 619110,Accounts Payable,Roseville,CA,95661,"LAQUOIA JOHNSON, PHARM D",PHARMACY MANAGER,(707) 576-4344,,38.46845469,-122.7073609,,
32,02095H0020,Sutter Health Sacramento Sierra Region DBA Sutter Solano Medical Center,,340B & DHCS DSH,Unchanged,300 HOSPITAL DRIVE,VALLEJO,CA,94590,2,095,50101,DSH050101,DSH,106481094,110000082,110000068,1366686248,,,,,,,MARK RILEY,DIRECTOR OF PHARMACY,(707) 554-5343,,38.13107484,-122.2390128,251901,2009
208,02097H0021,PETALUMA VALLEY HOSPITAL,,340B ,Added,400 N. MCDOWELL BLVD,PETALUMA,CA,94954,2,097,050136,DSH050136,DSH,106491001,110000001,110000040,1235162645,,,,,,,Kevin Clougherty,Regional Director 340B Pharmacy Operations,(707) 269-4236,,38.253124,-122.632805,150609,4012
211,02097H0022,SANTA ROSA MEMORIAL HOSPITAL,,340B ,Added,1165 MONTGOMERY DRIVE,SANTA ROSA,CA,95405,2,097,050174,DSH050174,DSH,106491064,140000648,140001268,1134152549,,,,,,,Kevin Clougherty,Regional Director 340B Pharmacy Operations,(707) 269-4236,,38.442852,-122.70178,151800,1020
221,02097H0023,Sutter Santa Rosa Regional Hospital,,DHCS DSH,Added,30 MARK WEST SPRINGS RD.,SANTA ROSA,CA,95403,2,097,050291,,,106494106,110000005,110000007,,,,,,,,"Purvis, Michael",Administrator,,,38.496258,-122.75322,152702,2004
34,03017H0001,BARTON MEMORIAL HOSPITAL,,340B,Unchanged,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,CA,96150,3,017,50352,SCH050352-00,Sole Community Hospital,106090793,030000013,030000114,,,,,,,,"Mark Minnie, RPh",DIRECTOR OF PHARMACY,(530) 543-5544,,38.912355,-119.99862,,
35,03067H0006,MERCY GENERAL HOSPITAL,,340B,Unchanged,4001 J STREET,SACRAMENTO,CA,95819,3,067,50017,DSH050017,DSH,106340947,030000062,030000124,1487694857,Dignity Health AP SAC,3400 Data Drive,,Rancho Cordova,CA,95670,Jeffrey Y. Nehira,Director of Pharmacy,(916) 453-4907,,38.56959713,-121.4533161,1500,1001
36,03067H0008,MERCY SAN JUAN MEDICAL CENTER,,340B,Unchanged,6501 COYLE AVENUE,CARMICHAEL,CA,95608,3,067,50516,DSH050516,DSH,106340950,030000063,030000127,,Dignity Health AP SAC,3400 Data Drive,,Rancho Cordova,CA,95670,JIM WALSH,PHARMACY DIRECTOR,(916) 537-5369,,38.66799878,-121.3138355,8134,1012
37,03067H0009,METHODIST HOSPITAL OF SACRAMENTO,,340B & DHCS DSH,Unchanged,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,3,067,50590,DSH050590,DSH,106340951,030000064,030000037,1497939201,,,,,,,Gurpreet Johal,Pharmacy Director,(916) 681-1665,,38.464231,-121.417532,9606,4010
39,03067H0013,SUTTER MEDICAL CENTER SACRAMENTO,,340B,Unchanged,2825 Capitol Avenue,SACRAMENTO,CA,95816,3,067,50108,DSH050108,DSH,106341051,030000102,030000151,1811946734,Sutter Shared Services,P.O. Box 619110,Accounts Payable,Roseville,CA,95661,Melanie Welcher,340B Program Coordinator,(916) 454-6669,,38.571648,-121.470163,1400,1023
40,03067H0016,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,2315 STOCKTON BLVD,SACRAMENTO,CA,95817,3,067,50599,DSH050599,DSH,106341006,030000086,030000113,1578639308,,,,,,,JOHN H. GRUBBS,Director of Pharmacy,(916) 734-3305,,38.55368866,-121.4568604,1700,3006
41,03113H0018,WOODLAND MEMORIAL HOSPITAL,,340B,Unchanged,1325 COTTONWOOD ST,WOODLAND,CA,95695,3,113,50127,DSH050127,DSH,106571086,030000115,030000301,,,,,,,,Denise Foreman,Director of Pharmacy,(530) 669-5481,,38.66282889,-121.7934291,11203,1000
207,03017H0019,MARSHALL HOSPITAL,,340B ,Added,1100 MARSHALL WAY,PLACERVILLE,CA,95667,3,017,050254,DSH050254,DSH,106090933,030000059,030000121,1972503142,Marshall Medical Center - Accounts Payable,P.O. Box # 872,,Placerville,CA,95667,Bob DiPonti,Director of Pharmacy,(530) 626-2657,,38.72554,-120.790855,31200,2052
215,03061H0020,SUTTER ROSEVILLE MEDICAL CENTER,,340B ,Added,1 MEDICAL PLAZA,ROSEVILLE,CA,95661,3,061,050309,DSH050309,DSH,106311000,030000083,030000134,1356390264,,,,,,,Melanie Welcher,340B Program Cooridinator,(916) 454-6669,,38.765141,-121.249786,22400,2018
42,04075H0004,CALIFORNIA PACIFIC MEDICAL CENTER-PACIFIC CAMPUS,,340B,Unchanged,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,4,075,50047,DSH050047,DSH,106380929,220000197,220000022,,,,,,,,DON WILLIS,PURCHASING AND SYSTEMS MANAGER,(415) 600-3200,,37.79131814,-122.4309521,13500,2001
46,04075H0005,ST LUKE'S HOSPITAL,,340B & DHCS DSH,Unchanged,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,4,075,50055,DSH050055,DSH,106380964,220000070,220000018,,,,,,,,GARY LOUIE,DIRECTOR OF PHARMACY SERVICES,(415) 600-3740,,37.74804637,-122.4208857,25300,4006
43,04075H0006,CHINESE HOSPITAL,,340B,Unchanged,845 JACKSON STREET,SAN FRANCISCO,CA,94133,4,075,50407,DSH050407,DSH,106382715,220000122,220000003,1992898837,,,,,,,THOMAS BOLGER,CFO,(415) 677-2496,,37.7957221,-122.4090594,11300,1000
44,04075H0009,SAN FRANCISCO GENERAL HOSPITAL,County,340B & DHCS DSH,Unchanged,1001 POTRERO AVE.,SAN FRANCISCO,CA,94110,4,075,50228,DSH050228,DSH,106380939,220000063,220000531,1326114158,San Francisco General Hospital,"1001 Potrero Avenue, GR-1",,San Francisco,CA,94110,DAVID WOODS,CHiEF PHARMACY OFFICER,(415) 206-2332,,37.756167,-122.406636,22802,2009
45,04075H0010,ST FRANCIS MEMORIAL HOSPITAL,,340B,Unchanged,900 HYDE STREET,SAN FRANCISCO,CA,94109,4,075,50152,DSH050152,DSH,106380960,220000069,220000234,,,,,,,,RAY MILLER,DIRECTOR OF PHARMACY,(415) 353-6451,,37.78911,-122.417017,11100,3000
47,04075H0011,ST. MARY'S MEDICAL CENTER,,340B,Unchanged,450 STANYAN STREET,SAN FRANCISCO,CA,94117,4,075,50457,DSH050457,DSH,106380965,220000071,220000225,,,,,,,,Minh Thu Nguyen,Director of Pharmacy,(415) 750-4988,,37.77381501,-122.4544718,16500,4001
48,04075H0012,UCSF-MEDICAL CENTER,County,340B DSH,Unchanged,505 PARNASSUS AVE.,SAN FRANCISCO,CA,94143,4,075,50454,DSH050454,DSH,106381154,220000091,220000031,,,,,,,,Tony Davoren,Pharmacy Director,(415) 514-6013,,37.762926,-122.45979,30102,1003
49,05013H0001,CONTRA COSTA REGIONAL MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,Contra Costa Regional Medical Center,MARTINEZ,CA,94553,5,013,50276,DSH050276,DSH,106070924,140000090,140000195,,CONTRA COSTA REGIONAL MEDICAL CENTER,HEALTH SERVICES FINANCE ADMINISTRATION,"50 DOUGLAS DR, SUITE 310",MARTINEZ,CA,94553,BUD DE CESARE,FISCAL MANAGER,(925) 957-5429,,38.006471,-122.130827,318000,2066
50,05013H0002,DOCTORS MEDICAL CENTER,,340B,Removed,2000 VALE ROAD,SAN PABLO,CA,94806,5,013,50079,DSH050079,DSH,106070904,110000485,110001204,1891733788,,,,,,,THERESE HELSER,DIRECTOR OF PHARMACY,(510) 970-5310,,37.952834,-122.338754,372000,1000
51,05013H0010,SUTTER DELTA MEDICAL CENTER,,340B,Unchanged,3901 LONE TREE WAY,ANTIOCH,CA,94509,5,013,50523,DSH050523,DSH,106070934,140000258,630002981,1811129752,,,,,,,Jane Han,PHARMACY MANAGER,(925) 779-7277,1226,37.96803677,-121.7858403,355108,2000
52,06001H0002,ALAMEDA HEALTH SYSTEM-HIGHLAND GENERAL HOSPITAL,County,340B & DHCS DSH,Unchanged,1411 EAST 31ST ST.,OAKLAND,CA,94602,6,001,50320,DSH050320,DSH,106010846,140000046,140000034,1922165323,,,,,,,Douglas DelPaggio,Pharmacy Director,(510) 437-4048,,37.79957113,-122.2329955,405700,3001
53,06001H0003,ALAMEDA HOSPITAL,County,340B & DHCS DSH,Unchanged,2070 CLINTON AVE,ALAMEDA,CA,94501,6,001,50211,DSH050211,DSH,106010735,140000002,140000011,,Alameda Hospital,15400 Foothill Blvd.,,San Leandro,CA,94578,"Stebbins, Deborah E",Administrator,(510) 522-3700,,37.7632753,-122.2537064,,
54,06001H0007,ALTA BATES SUMMIT MED - HERRICK (ABSM-H),,340B,Unchanged,2450 ASHBY AVENUE,BERKELEY,CA,94704,6,001,50305,DSH050305,DSH,106010844,,140000006,,,,,,,,Mary Reiter,Assistant Director of Pharmacy-Outpatient Services,(510) 869-8489,,37.863665,-122.269834,423901,2000
55,06001H0008,ALTA BATES SUMMIT MED (ABSM),,340B,Unchanged,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,6,001,50043,DSH050043,DSH,106010937,140000284,140000425,,,,,,,,Mary Reiter,Assistant Director of Pharmacy-Outpatient Services,(510) 869-8489,,37.82077032,-122.262988,401300,1009
56,06001H0010,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,Pediatric,DHCS DSH,Unchanged,747 52ND St,OAKLAND,CA,94609,6,001,,,,106010776,060000348,140000014,,,,,,,,"DeCarlo, Richard",Administrator,(510) 428-3000,,37.837346,-122.267935,,
57,06001H0011,EDEN MEDICAL CENTER,,340B,Unchanged,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,6,001,50488,DSH050488,DSH,106014233,,140000183,1134122179,,,,,,,Fred Hom,DIRECTOR OF PHARMACY,(510) 727-3028,,37.69821809,-122.0873237,430900,2004
58,06001H0018,ST. ROSE HOSPITAL,,340B & DHCS DSH,Unchanged,27200 CALAROGA AVE.,HAYWARD,CA,94545,6,001,50002,DSH050002,DSH,106010967,140000107,140000273,,,,,,,,Roger Krissman,CFO,(510) 264-4101,,37.63288511,-122.0897799,437300,1018
59,06001H0021,WASHINGTON HOSPITAL HEALTHCARE SYSTEM,,340B,Unchanged,2000 MOWRY AVENUE,FREMONT,CA,94538,6,001,50195,DSH050195,DSH,106010987,140000116,140001294,1780614685,,,,,,,MINH-THU DENNEN,DIRECTOR OF PHARMACY,(510) 608-6114,,37.558635,-121.980294,441924,1024
210,06001H0022,SAN LEANDRO HOSPITAL,,340B ,Added,13855 EAST 14TH STREET,SAN LEANDRO,CA,94578,6,001,050773,DSH050773,DSH,106013619,550002039,630013913,1356673503,SAN LEANDRO HOSPITAL,15400 Foothill Blvd.,,SAN LEANDRO,CA,94578,Elizabeth Blackburn,Pharmacist in Charge,(510) 667-4505,,37.71506,-122.14234,433104,1000
60,07085H0007,LUCILE PACKARD CHILDREN'S HOSPITAL,Pediatric,340B,Unchanged,725 WELCH ROAD,PALO ALTO,CA,94304,7,085,53305,PED053305-00,Childrens Hospital,106434040,,070001349,1467442749,LUCILE PACKARD CHILDREN'S HOSPITAL - ACCOUNTS PAYABLE,725 WELCH ROAD MC5553,,PALO ALTO,CA,94304,"FRED NISHIOKA, PHARM D.",ASSOCIATE DIRECTOR OF PHARMACY,(650) 497-8781,,37.43738,-122.17499,511609,1041
61,07085H0009,O'CONNOR HOSPITAL,,340B,Unchanged,2105 FOREST AVENUE,SAN JOSE,CA,95128,7,085,50153,DSH050153,DSH,106430837,070000072,070000868,,,,,,,,Norman Fox,Pharmacy Director,(408) 947-2838,,37.327055,-121.937112,500500,5013
63,07085H0011,SANTA CLARA VALLEY MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,751 SOUTH BASCOM AVE.,SAN JOSE,CA,95128,7,085,50038,DSH050038,DSH,106430883,070000085,070000290,,,,,,,,Narinder Singh,Director of Pharmacy,(408) 885-2300,,37.31618925,-121.931837,502101,1014
62,07085H0012,SAINT LOUISE REGIONAL HOSPITAL,,340B,Unchanged,9400 NO NAME UNO,GILROY,CA,95020,7,085,50688,DSH050688,DSH,106434138,070000266,070000635,,,,,,,,Norman Fox,PHARMACY DIRECTOR,(408) 848-4908,,37.03644789,-121.5737749,512401,1090
213,07085H0019,STANFORD HOSPITAL & CLINICS,,340B ,Added,300 PASTEUR DRIVE,Stanford,CA,94305,7,085,050441,DSH050441,DSH,106430905,070000662,070001357,1871543215,,,,,,,Deepak Sisodiya,Director of Pharmacy Services,(650) 725-5801,,37.43362,-122.176476,511609,1041
64,08081H0007,SAN MATEO MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,222 WEST 39TH AVENUE,SAN MATEO,CA,94403,8,081,50113,DSH050113,DSH,106410782,220000015,220000218,1205909058,,,,,,,GARY L. HORNE,DIRECTOR OF PHARMACY,(650) 573-2366,,37.53044812,-122.2985765,607200,2025
65,08081H0010,SETON MEDICAL CENTER,,340B,Removed,1900 SULLIVAN AVE.,DALY CITY,CA,94015,8,081,50289,DSH050289,DSH,106410817,220000026,220000415,,,,,,,,Martha Yasavolian,DIRECTOR OF PHARMACY SERVICES,(650) 991-6789,,37.68262766,-122.4724056,601400,2001
66,09087H0011,DOMINICAN HOSPITAL,,340B,Unchanged,1555 SOQUEL DRIVE,SANTA CRUZ,CA,95065,9,087,50242,DSH050242,DSH,106440755,070000030,070000139,,,,,,,,Michael Walsh,CFO,(831) 462-7504,,36.988652,-121.982932,121300,1029
71,09053H0012,SOUTHERN MONTEREY COUNTY MEMORIAL HOSPITAL DBA GEORGE L. MEE MEMORIAL HOSPITAL,,340B & DHCS DSH,Unchanged,300 CANAL STREET,KING CITY,CA,93930,9,053,50189,DSH050189,DSH,106270777,070000047,070000141,,,,,,,,Jason Lashbrook,Pharmacy Manager,(831) 385-7143,,36.207095,-121.132331,11304,1234
68,09069H0013,HAZEL HAWKINS MEMORIAL HOSPITAL,,DHCS DSH,Unchanged,911 SUNSET DRIVE,HOLLISTER,CA,95023,9,069,50296,,,106350784,070000004,070000142,1275578817,,,,,,,ROD PINTELLO,DIRECTOR OF MATERIALS,(831) 636-2634,,36.83504138,-121.3861602,600,3026
69,09053H0015,NATIVIDAD MEDICAL CENTER,County,340B & DHCS DSH,Unchanged,1441 CONSTITUTION BLVD.,SALINAS,CA,93906,9,053,50248,DSH050248,DSH,106274043,070000070,070000306,1063616613,,PO BOX #81611,,Salinas,CA,93912,Jason Warren,DIRECTOR OF PHARMACY,(831) 772-7720,,36.69997457,-121.6232277,104,2006
70,09053H0016,SALINAS VALLEY MEMORIAL HEALTHCARE SYSTEM,,340B,Unchanged,450 EAST ROMIE LANE,SALINAS,CA,93901,9,053,50334,DSH050334,DSH,106270875,070000083,070000147,1750384079,,,,,,,Michael S. Brown,Director of Pharmacy,(831) 759-3090,,36.66038916,-121.6480409,14500,2000
67,09087H0018,WATSONVILLE COMMUNITY HOSPITAL,,DHCS DSH,Unchanged,75 NIELSON St,WATSONVILLE,CA,95076,9,053,50194,,,106444013,070000097,070000155,,,,,,,,"Earle, Audra",Administrator,(831) 724-4741,,36.941261,-121.782524,,
86,11019H0002,Adventist Medical Center - Reedley,,340B & DHCS DSH,Unchanged,372 W. Cypress Ave,REEDLEY,CA,93654,10,107,50192,DSH050192,DSH,106100797,040000149,040000124,1336167550,,,,,,,John Choi,DOP,(559) 537-2204,,36.60779521,-119.4513427,6603,1001
